,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
12014,2.23,698,3139.0,1000106,11.0,Roma,S.Angelo,1000,6,104
12015,19.74,512,152.0,1000172,16.0,Roma,Trevi,2533,10,220
12016,6.03,1057,2486.0,1001725,9.0,Roma,Prati,5733,15,230
12017,5.11,1138,4111.0,1001136,9.0,Roma,Ostiense,7033,14,125
12018,inf,723,0.0,1000150,15.0,Roma,San Saba,10012,22,696
12019,2.1,1310,4281.0,1001356,9.0,Roma,Lido di Ostia Levante,4777,7,277
12020,5.91,1308,1692.0,1001369,8.0,Roma,Lido di Ostia Levante,4500,10,245
12021,5.43,960,1842.0,1000723,13.0,Roma,Alessandrino,3830,8,37
12022,1.78,903,2242.0,1000534,6.0,Roma,Collatino,3100,10,675
12023,4.75,874,2314.0,1000504,9.0,Roma,Collatino,4963,8,538
12024,4.32,874,2314.0,1000504,13.0,Roma,Collatino,6450,14,348
12025,2.68,263,10817.0,1001540,6.0,Roma,Portuense,6113,16,361
12026,10.43,672,1630.0,1001532,13.0,Roma,Portuense,5029,10,242
12027,2.76,169,7609.0,1001537,6.0,Roma,Ponte Galeria,16657,21,611
12028,2.63,169,7609.0,1001537,8.0,Roma,Ponte Galeria,7595,12,148
12029,2.35,136,2975.0,1001534,13.0,Roma,Portuense,7728,16,177
12030,1.99,435,1006.0,1001530,11.0,Roma,Portuense,16050,19,131
12031,4.97,435,1006.0,1001530,13.0,Roma,Portuense,5060,11,355
12032,0.42,54,7156.0,1058023,2.0,Castel madama,,4866,7,708
12033,3.37,1220,2667.0,1001512,6.0,Roma,Portuense,1644,4,514
12034,11.49,140,1480.0,1001261,7.0,Roma,Torrino,3729,9,624
12035,0.34,134,2933.0,1000624,0.0,Roma,Collatino,3800,12,402
12036,0.65,877,6112.0,1000510,23.0,Roma,Collatino,6150,13,161
