,counts,index_zmu,POP_TOT_ZMU,zmu,hr,day,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13925,2.99,13,334.0,1001124,7.0,2022-10-20,Roma,Appio-Pignatelli,5700.0,15.0,882.0
13926,4.57,1063,219.0,1001009,10.0,2022-10-20,Roma,Appio Claudio,1100.0,3.0,38.0
13927,1.93,1180,517.0,1001140,7.0,2022-10-20,Roma,Ardeatino,6300.0,21.0,875.0
13928,2.7,1187,371.0,1001207,16.0,2022-10-20,Roma,Europa,1600.0,5.0,8.0
13929,2.98,92,336.0,1000188,18.0,2022-10-20,Roma,Ludovisi,2300.0,5.0,274.0
13930,0.76,151,1313.0,1000319,10.0,2022-10-20,Roma,Nomentano,8000.0,30.0,100.0
13931,0.55,214,3659.0,1001615,14.0,2022-10-20,Roma,Gianicolense,4950.0,19.0,119.0
13932,0.49,603,2025.0,1058118,9.0,2022-10-20,Ciampino,,3200.0,5.0,25.0
13933,0.27,848,3750.0,1000466,5.0,2022-10-20,Roma,Castel Giubileo,5200.0,8.0,6.0
13934,0.33,985,3030.0,1000828,5.0,2022-10-20,Roma,Don Bosco,4800.0,9.0,5.0
13935,0.42,713,2403.0,1000129,7.0,2022-10-20,Roma,Esquilino,7700.0,23.0,147.0
13936,0.85,427,1181.0,1002007,7.0,2022-10-20,Roma,Tor di Quinto,1300.0,5.0,30.0
13937,0.23,111,4287.0,1000924,7.0,2022-10-20,Roma,Tuscolano,11600.0,30.0,819.0
13938,66.67,992,15.0,1000810,11.0,2022-10-20,Roma,Acqua Vergine,1500.0,3.0,40.0
13939,0.35,351,2894.0,1001851,17.0,2022-10-20,Roma,Primavalle,2200.0,5.0,1434.0
13940,0.18,614,5681.0,1058133,16.0,2022-10-20,MARINO,,8900.0,16.0,17.0
13941,0.82,1321,1221.0,1001545,17.0,2022-10-20,Roma,Portuense,300.0,1.0,391.0
13942,0.05,47,38256.0,1058003,2.0,2022-10-20,Albano laziale,,16950.0,21.0,187.0
13943,0.2,893,5006.0,1000526,18.0,2022-10-20,Roma,Ponte Mammolo,44300.0,31.0,239.0
13944,7.04,725,142.0,1000155,20.0,2022-10-20,Roma,Trastevere,12900.0,25.0,102.0
13945,0.28,1257,3529.0,1001513,22.0,2022-10-20,Roma,Portuense,7700.0,16.0,91.0
13946,0.34,163,2946.0,1000722,10.0,2022-10-20,Roma,Alessandrino,4400.0,10.0,923.0
13947,0.27,955,3658.0,1000714,22.0,2022-10-20,Roma,Alessandrino,1300.0,3.0,14.0
13948,1.43,950,697.0,1000708,1.0,2022-10-20,Roma,Tor Sapienza,43900.0,58.0,2314.0
13949,2.72,236,367.0,1001711,7.0,2022-10-20,Roma,Della Vittoria,2000.0,5.0,1361.0
13950,1.08,258,1855.0,1001904,8.0,2022-10-20,Roma,Della Vittoria,2600.0,7.0,54.0
13951,1.82,464,550.0,1002048,16.0,2022-10-20,Roma,Della Vittoria,400.0,2.0,468.0
13952,1.49,472,672.0,1002078,15.0,2022-10-20,Roma,Tor di Quinto,4300.0,12.0,1.0
