,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13718,0.53,1001,1891.0,1000825,23.0,Roma,Borghesiana,22500,24,162
13719,4.04,613,4948.0,1000602,16.0,Roma,Prenestino-Labicano,6240,15,66
13720,21.01,1007,238.0,1000830,18.0,Roma,Torre Maura,4140,8,183
13721,2.07,1192,2410.0,1001262,20.0,Roma,Torrino,6260,14,198
13722,4.48,730,1563.0,1000164,18.0,Roma,Trastevere,8242,18,95
13723,0.4,613,4948.0,1000602,20.0,Roma,Prenestino-Labicano,8500,25,263
13724,4.12,1041,1458.0,1000929,9.0,Roma,Tuscolano,18800,38,212
13725,1.48,1004,2026.0,1000823,7.0,Roma,Borghesiana,1466,4,797
13726,3.97,926,504.0,1000619,19.0,Roma,Tuscolano,12550,12,3588
13727,2.14,337,2799.0,1001835,18.0,Roma,Aurelio,5783,10,148
13728,0.56,1223,12421.0,1001229,22.0,Roma,Tor de' Cenci,13342,17,125
13729,2.58,651,387.0,1001019,21.0,Roma,Torre Maura,33200,19,161
13730,0.08,1223,12421.0,1001229,0.0,Roma,Tor de' Cenci,20900,15,150
13731,1.79,118,2234.0,1000950,6.0,Roma,Appio-Latino,6425,27,683
13732,6.1,781,492.0,1000304,18.0,Roma,Nomentano,6533,20,503
13733,2.74,342,1462.0,1001849,19.0,Roma,Aurelio,25325,39,11
13734,35.71,1213,28.0,1001239,10.0,Roma,Ostiense,1000,3,24
13735,5.41,681,4250.0,1000402,11.0,Roma,Monte Sacro,6982,13,371
13736,30.64,712,359.0,1000126,13.0,Roma,Esquilino,9754,30,82
13737,2.46,315,4476.0,1001838,9.0,Roma,Aurelio,2281,10,116
13738,1.36,975,1475.0,1000916,21.0,Roma,Appio-Latino,8200,21,187
13739,5.74,274,1394.0,1000902,6.0,Roma,Tuscolano,2712,12,8
13740,2.76,108,2537.0,1000930,7.0,Roma,Appio-Latino,6728,21,323
13741,3.58,118,2234.0,1000950,12.0,Roma,Appio-Latino,10225,21,562
13742,3.94,108,2537.0,1000930,13.0,Roma,Appio-Latino,3330,16,584
13743,11.21,426,1338.0,1002006,17.0,Roma,Della Vittoria,4746,12,270
13744,4.77,1306,3770.0,1001352,6.0,Roma,Ostia Antica,8094,12,862
13745,4.3,1301,3021.0,1001350,14.0,Roma,Casal Palocco,4576,13,533
13746,1.25,184,803.0,1000101,21.0,Roma,Ponte,4300,13,182
13747,6.37,388,1412.0,1000230,16.0,Roma,Salario,2888,13,112
13748,4.98,184,803.0,1000101,16.0,Roma,Ponte,6700,27,230
